,patent_id,type,country,date,abstract,title,kind,num_claims,withdrawn,subsection_id,Citation#
2950334,9274693,utility,US,01/03/2016,"In one example, a method includes receiving a digital note of a plurality of digital notes generated based on image data comprising a visual representation of a scene that includes a plurality of physical notes such that each of the plurality of digital notes respectively corresponds to a particular physical note of the plurality of physical notes, wherein each of the physical notes includes respective recognizable content. In this example, the method also includes receiving user input indicating a modification to one or more visual characteristics of the digital note. In this example, the method also includes editing, in response to the user input, the one or more visual characteristics of the digital note. In this example, the method also includes outputting, for display, a modified version of the digital note that includes the one or more visual characteristics.",Editing digital notes representing physical notes,B2,29,0,G06,7
2553660,8699767,utility,US,15/04/2014,"Described is a system for optimizing rapid serial visual presentation (RSVP). A similarity metric is computed for RSVP images, and the images are sequenced according to the similarity metrics. The sequenced images are presented to a user, and neural signals are received to detect a P300 signal. A neural score for each image is computed, and the system is optimized to model the neural scores. The images are resequenced according a predictive model to output a sequence prediction which does not cause a false P300 signal. Additionally, the present invention describes computing a set of motion surprise maps from image chips. The image chips are labeled as static or moving and prepared into RSVP datasets. Neural signals are recorded in response to the RSVP datasets, and an EEG score is computed from the neural signals. Each image chip is then classified as containing or not containing an item of interest.",System for optimal rapid serial visual presentation (RSVP) from user-specific neural brain signals,B1,12,0,G06,1
2187114,7983955,utility,US,19/07/2011,"A method of selling products and/or services using an interactive entertainment system. The method includes steps of: providing access to interactive content to a user at a first level of access over a computer network; selling a product and/or service to the user; responsive to the selling, providing access to the content at a second level of access over the network; receiving consent from the user to display advertisements along with the content; and responsive to the selling and the receiving, providing access to the content at a third level of access over the network. The first level of access provides first access privileges, the second level of access provides second access privileges that are excluded from the first level of access, and the third level of access provides the second access privileges and third access privileges that are excluded from the second level of access.",System and method for tiered website access,B2,31,0,G06,3
885745,10824759,utility,US,03/11/2020,"Methods and systems for processing a blockchain comprising a plurality of immutable sales records corresponding to sales made by agents of an entity are provided. According to certain aspects, a transaction request indicating a sale made by an agent of the entity may be received at a first node. A block including a sales record indicating the sale made by the agent may be added to a blockchain and transmitted to another node for validation. The first node may add the block to a copy of the blockchain, where the block may be identified by a hash value that references a previous block in the blockchain that includes at least one additional sales record.",Systems and methods for verifying agent sales data via blockchain,B1,18,0,G06,2
219144,10228286,utility,US,12/03/2019,"A display device including a housing, a display module, a carrier and a color correction module is provided. The display module is disposed in the housing and exposes a display plane, which faces a first direction vertical to the display plane. The carrier is movably connected to the housing and disposed outside the housing or disposed on a back side of the display module. The back side faces to a second direction opposite to the first direction. The color correction module is disposed on the carrier and has a sensing face. The carrier is selectively disposed at a first position or a second position with respect to the housing. When the carrier is at the second position, the sensing face of the color correction module is moved to face the display plane.",Display device,B2,14,0,G06,0
724733,10691481,utility,US,23/06/2020,"A system and method include determining underprovisioning of a guest physical memory of a virtual machine running on a computing node. The node includes hardware resources that are mapped the guest physical memory by a hypervisor. The hypervisor receives page fault information from the virtual machine based on page faults in the virtual machine. The hypervisor generates a table that includes virtual memory address-process indicator pair entries and corresponding page fault numbers. The hypervisor removes those entries that have a corresponding page fault number that is less than a first threshold value. The hypervisor determines a size of a revolving memory based on the number of remaining entries and a page size of the guest physical memory. If the revolving memory size is less than a second threshold value in relation to the allocated size of the guest physical memory, the hypervisor indicates underprovisioning of the guest physical memory.",System and method for detection of underprovisioning of memory in virtual machines,B2,21,0,G06,0
830482,10776902,utility,US,15/09/2020,"Image processing device for producing in real-time a digital composite image from a sequence of digital images recorded by a camera device, in particular an endoscopic camera device, the image processing device including a selecting unit, a key point detection unit, a transforming unit and a joining unit,wherein the key point detection unit includes a maximum detection unit configured for executing following steps separately for the filter response for the reference image and for the filter response for the further image, wherein a variable threshold is used:  i) creating blocks by dividing the respective filter response,  ii) calculating the variable threshold for each of the blocks,  iii) discarding those blocks of the blocks from further consideration, in which the respective filter response at a reference point of the respective block is less than the respective variable threshold. ",Image processing device and method for producing in real-time a digital composite image from a sequence of digital images,B2,12,0,G06,0
1823150,7090337,utility,US,15/08/2006,"An inkjet printhead having a plurality of nozzle assemblies is provided. Each nozzle assembly comprises a nozzle chamber for ink to be ejected. The chamber includes an ink inlet for fluid communication with an ink reservoir and a nozzle through which ink from the chamber can be ejected. Each nozzle assembly also includes at least one thermal actuator for contracting the chamber, such that ink is ejected through the nozzle.",Inkjet printhead comprising contractible nozzle chambers,B2,10,0,G06,1
2699488,8930956,utility,US,06/01/2015,"Methods, apparatuses, and computer program products for utilizing a kernel administration hardware thread of a multi-threaded, multi-core compute node of a parallel computer are provided. Embodiments include a kernel assigning a memory space of a hardware thread of an application processing core to a kernel administration hardware thread of a kernel processing core. A kernel administration hardware thread is configured to advance the hardware thread to a next memory space associated with the hardware thread in response to the assignment of the kernel administration hardware thread to the memory space of the hardware thread. Embodiments also include the kernel administration hardware thread executing an instruction within the assigned memory space.","Utilizing a kernel administration hardware thread of a multi-threaded, multi-core compute node of a parallel computer",B2,14,0,G06,0
3000672,9335878,utility,US,10/05/2016,"An information input apparatus includes: a touch pad; a touch information detecting unit which detects touch information that is information resulting from an operator contacting the touch sensor with a finger; a touch operation start position detecting unit which detects, using the touch information, a touch operation start position that is a start position of a touch operation performed by the operator; a touch operation recognition condition storage unit which stores a plurality of touch operation recognition conditions each for recognizing one of types of touch operation, in association with each of touch operation start positions; and a touch recognizing unit, which recognizes the touch operation, using the touch operation recognition conditions stored in association with the touch operation start position detected by the touch operation start position detecting unit, to determine a type of the touch operation.","Information input apparatus, information input method, and program",B2,20,0,G06,9
2405569,8430325,utility,US,30/04/2013,"In some implementations, a method includes interfacing a mobile device including a GUI. User credentials used to execute transactions with contactless devices are securely stored and associated with one or more enterprises. The secure memory includes master credentials and a master security framework that enables enterprises to store or update user credentials and associated security frameworks. Displays associated with the user credentials are dynamically generated and presented through the GUI of the mobile device. Wireless transactions are executed with contactless devices using the selectable user credentials.",Executing transactions secured user credentials,B2,25,0,G06,28
1579738,6041138,utility,US,21/03/2000," A method of extracting features from a gray-scale image includes the steps of generating polygons which approximate a curved surface represented by the gray-scale image, and extracting features with respect to common edges of adjoining polygons. The method further includes the step of generating boundaries of document elements based on the features. ",Method and device for extracting features from gray-scale image and generating boundaries of document elements,A,13,0,G06,0
